ProductName;LicenseSKUID
APP CONNECT IW;8f0c5670-4e56-4892-b06d-91c085d7004f
Microsoft 365 Audio Conferencing;0c266dff-15dd-4b49-8397-2bb16070ed52
AZURE ACTIVE DIRECTORY BASIC;2b9c8e7c-319c-43a2-a2a0-48c5c6161de7
AZURE ACTIVE DIRECTORY PREMIUM P1;078d2b04-f1bd-4111-bbd4-b4b1b354cef4
AZURE ACTIVE DIRECTORY PREMIUM P2;84a661c4-e949-4bd2-a560-ed7766fcaf2b
AZURE INFORMATION PROTECTION PLAN 1;c52ea49f-fe5d-4e95-93ba-1de91d380f89
DYNAMICS 365 CUSTOMER ENGAGEMENT PLAN ENTERPRISE EDITION;ea126fc5-a19e-42e2-a731-da9d437bffcf
DYNAMICS 365 FOR CUSTOMER SERVICE ENTERPRISE EDITION;749742bf-0d37-4158-a120-33567104deeb
DYNAMICS 365 FOR FINANCIALS BUSINESS EDITION;cc13a803-544e-4464-b4e4-6d6169a138fa
DYNAMICS 365 FOR SALES AND CUSTOMER SERVICE ENTERPRISE EDITION;8edc2cf8-6438-4fa9-b6e3-aa1660c640cc
DYNAMICS 365 FOR SALES ENTERPRISE EDITION;1e1a282c-9c54-43a2-9310-98ef728faace
DYNAMICS 365 FOR TEAM MEMBERS ENTERPRISE EDITION;8e7a3d30-d97d-43ab-837c-d7701cef83dc
DYNAMICS 365 UNF OPS PLAN ENT EDITION;ccba3cfe-71ef-423a-bd87-b6df3dce59a9
ENTERPRISE MOBILITY + SECURITY E3;efccb6f7-5641-4e0e-bd10-b4976e1bf68e
ENTERPRISE MOBILITY + SECURITY E5;b05e124f-c7cc-45a0-a6aa-8cf78c946968
EXCHANGE ONLINE (PLAN 1);4b9405b0-7788-4568-add1-99614e613b69
EXCHANGE ONLINE (PLAN 2);19ec0d23-8335-4cbd-94ac-6050e30712fa
EXCHANGE ONLINE ARCHIVING FOR EXCHANGE ONLINE;ee02fd1b-340e-4a4b-b355-4a514e4c8943
EXCHANGE ONLINE ARCHIVING FOR EXCHANGE SERVER;90b5e015-709a-4b8b-b08e-3200f994494c
EXCHANGE ONLINE ESSENTIALS;7fc0182e-d107-4556-8329-7caaa511197b
EXCHANGE ONLINE ESSENTIALS;e8f81a67-bd96-4074-b108-cf193eb9433b
EXCHANGE ONLINE KIOSK;80b2d799-d2ba-4d2a-8842-fb0d0f3a4b82
EXCHANGE ONLINE POP;cb0a98a8-11bc-494c-83d9-c1b1ac65327e
INTUNE;061f9ace-7d42-4136-88ac-31dc755f143f
